name,tripitaka_code,volume_num,content_page_count,max_content_page,front_cover_count,back_cover_count,content_pages
QL_162,QL,162,86,1085,0,0,"['QL_162_1000', 'QL_162_1001', 'QL_162_1002', 'QL_162_1003', 'QL_162_1004', 'QL_162_1005', 'QL_162_1006', 'QL_162_1007', 'QL_162_1008', 'QL_162_1009', 'QL_162_1010', 'QL_162_1011', 'QL_162_1012', 'QL_162_1013', 'QL_162_1014', 'QL_162_1015', 'QL_162_1016', 'QL_162_1017', 'QL_162_1018', 'QL_162_1019', 'QL_162_1020', 'QL_162_1021', 'QL_162_1022', 'QL_162_1023', 'QL_162_1024', 'QL_162_1025', 'QL_162_1026', 'QL_162_1027', 'QL_162_1028', 'QL_162_1029', 'QL_162_1030', 'QL_162_1031', 'QL_162_1032', 'QL_162_1033', 'QL_162_1034', 'QL_162_1035', 'QL_162_1036', 'QL_162_1037', 'QL_162_1038', 'QL_162_1039', 'QL_162_1040', 'QL_162_1041', 'QL_162_1042', 'QL_162_1043', 'QL_162_1044', 'QL_162_1045', 'QL_162_1046', 'QL_162_1047', 'QL_162_1048', 'QL_162_1049', 'QL_162_1050', 'QL_162_1051', 'QL_162_1052', 'QL_162_1053', 'QL_162_1054', 'QL_162_1055', 'QL_162_1056', 'QL_162_1057', 'QL_162_1058', 'QL_162_1059', 'QL_162_1060', 'QL_162_1061', 'QL_162_1062', 'QL_162_1063', 'QL_162_1064', 'QL_162_1065', 'QL_162_1066', 'QL_162_1067', 'QL_162_1068', 'QL_162_1069', 'QL_162_1070', 'QL_162_1071', 'QL_162_1072', 'QL_162_1073', 'QL_162_1074', 'QL_162_1075', 'QL_162_1076', 'QL_162_1077', 'QL_162_1078', 'QL_162_1079', 'QL_162_1080', 'QL_162_1081', 'QL_162_1082', 'QL_162_1083', 'QL_162_1084', 'QL_162_1085']"
QL_163,QL,163,0,0,0,0,[]
QL_164,QL,164,0,0,0,0,[]
QL_165,QL,165,0,0,0,0,[]
QL_166,QL,166,0,0,0,0,[]
QL_167,QL,167,0,0,0,0,[]
QL_168,QL,168,0,0,0,0,[]
QL_17,QL,17,0,0,0,0,[]
QL_18,QL,18,0,0,0,0,[]
QL_19,QL,19,0,0,0,0,[]
QL_2,QL,2,0,0,0,0,[]
QL_20,QL,20,0,0,0,0,[]
QL_21,QL,21,0,0,0,0,[]
QL_22,QL,22,0,0,0,0,[]
QL_23,QL,23,0,0,0,0,[]
QL_24,QL,24,0,0,0,0,[]
QL_25,QL,25,0,0,0,0,[]
QL_26,QL,26,0,0,0,0,[]
QL_27,QL,27,0,0,0,0,[]
QL_28,QL,28,0,0,0,0,[]
QL_29,QL,29,0,0,0,0,[]
QL_3,QL,3,0,0,0,0,[]
QL_30,QL,30,0,0,0,0,[]
QL_31,QL,31,0,0,0,0,[]
QL_32,QL,32,0,0,0,0,[]
QL_33,QL,33,0,0,0,0,[]
QL_34,QL,34,0,0,0,0,[]
QL_35,QL,35,0,0,0,0,[]
QL_36,QL,36,0,0,0,0,[]
QL_37,QL,37,0,0,0,0,[]
QL_38,QL,38,0,0,0,0,[]
QL_39,QL,39,0,0,0,0,[]
QL_4,QL,4,0,0,0,0,[]
QL_40,QL,40,0,0,0,0,[]
QL_41,QL,41,0,0,0,0,[]
QL_42,QL,42,0,0,0,0,[]
QL_43,QL,43,0,0,0,0,[]
QL_44,QL,44,0,0,0,0,[]
QL_45,QL,45,0,0,0,0,[]
QL_46,QL,46,0,0,0,0,[]
QL_47,QL,47,0,0,0,0,[]
QL_48,QL,48,0,0,0,0,[]
QL_49,QL,49,0,0,0,0,[]
QL_5,QL,5,0,0,0,0,[]
QL_50,QL,50,0,0,0,0,[]
QL_51,QL,51,0,0,0,0,[]
QL_52,QL,52,0,0,0,0,[]
QL_53,QL,53,0,0,0,0,[]
QL_54,QL,54,0,0,0,0,[]
QL_55,QL,55,0,0,0,0,[]
QL_56,QL,56,0,0,0,0,[]
QL_57,QL,57,0,0,0,0,[]
QL_58,QL,58,0,0,0,0,[]
QL_59,QL,59,0,0,0,0,[]
QL_6,QL,6,0,0,0,0,[]
QL_60,QL,60,0,0,0,0,[]
QL_61,QL,61,0,0,0,0,[]
QL_62,QL,62,0,0,0,0,[]
QL_63,QL,63,0,0,0,0,[]
QL_64,QL,64,0,0,0,0,[]
QL_65,QL,65,0,0,0,0,[]
QL_66,QL,66,0,0,0,0,[]
QL_67,QL,67,0,0,0,0,[]
QL_68,QL,68,0,0,0,0,[]
QL_69,QL,69,0,0,0,0,[]
QL_7,QL,7,0,0,0,0,[]
QL_70,QL,70,0,0,0,0,[]
QL_71,QL,71,0,0,0,0,[]
QL_72,QL,72,0,0,0,0,[]
QL_73,QL,73,0,0,0,0,[]
QL_74,QL,74,0,0,0,0,[]
QL_75,QL,75,0,0,0,0,[]
QL_76,QL,76,0,0,0,0,[]
QL_77,QL,77,0,0,0,0,[]
QL_78,QL,78,0,0,0,0,[]
QL_79,QL,79,0,0,0,0,[]
QL_8,QL,8,0,0,0,0,[]
QL_80,QL,80,0,0,0,0,[]
QL_81,QL,81,0,0,0,0,[]
QL_82,QL,82,0,0,0,0,[]
QL_83,QL,83,0,0,0,0,[]
QL_84,QL,84,0,0,0,0,[]
QL_85,QL,85,0,0,0,0,[]
QL_86,QL,86,0,0,0,0,[]
QL_87,QL,87,0,0,0,0,[]
QL_88,QL,88,0,0,0,0,[]
QL_89,QL,89,0,0,0,0,[]
QL_9,QL,9,0,0,0,0,[]
QL_90,QL,90,0,0,0,0,[]
QL_91,QL,91,0,0,0,0,[]
QL_92,QL,92,0,0,0,0,[]
QL_93,QL,93,0,0,0,0,[]
QL_94,QL,94,0,0,0,0,[]
QL_95,QL,95,0,0,0,0,[]
QL_96,QL,96,0,0,0,0,[]
QL_97,QL,97,0,0,0,0,[]
QL_98,QL,98,0,0,0,0,[]
QL_99,QL,99,0,0,0,0,[]
