name,tripitaka_code,volume_num,content_page_count,max_content_page,front_cover_count,back_cover_count,content_pages
YG_20,YG,20,37,37,3,0,"['YG_20_10', 'YG_20_11', 'YG_20_12', 'YG_20_13', 'YG_20_14', 'YG_20_15', 'YG_20_16', 'YG_20_17', 'YG_20_18', 'YG_20_19', 'YG_20_1', 'YG_20_20', 'YG_20_21', 'YG_20_22', 'YG_20_23', 'YG_20_24', 'YG_20_25', 'YG_20_26', 'YG_20_27', 'YG_20_28', 'YG_20_29', 'YG_20_2', 'YG_20_30', 'YG_20_31', 'YG_20_32', 'YG_20_33', 'YG_20_34', 'YG_20_35', 'YG_20_36', 'YG_20_37', 'YG_20_3', 'YG_20_4', 'YG_20_5', 'YG_20_6', 'YG_20_7', 'YG_20_8', 'YG_20_9', 'YG_20_f1', 'YG_20_f2', 'YG_20_f3']"
YG_21,YG,21,19,19,3,0,"['YG_21_10', 'YG_21_11', 'YG_21_12', 'YG_21_13', 'YG_21_14', 'YG_21_15', 'YG_21_16', 'YG_21_17', 'YG_21_18', 'YG_21_19', 'YG_21_1', 'YG_21_2', 'YG_21_3', 'YG_21_4', 'YG_21_5', 'YG_21_6', 'YG_21_7', 'YG_21_8', 'YG_21_9', 'YG_21_f1', 'YG_21_f2', 'YG_21_f3']"
YG_22,YG,22,8,8,1,0,"['YG_22_1', 'YG_22_2', 'YG_22_3', 'YG_22_4', 'YG_22_5', 'YG_22_6', 'YG_22_7', 'YG_22_8', 'YG_22_f1']"
YG_23,YG,23,28,28,1,1,"['YG_23_10', 'YG_23_11', 'YG_23_12', 'YG_23_13', 'YG_23_14', 'YG_23_15', 'YG_23_16', 'YG_23_17', 'YG_23_18', 'YG_23_19', 'YG_23_1', 'YG_23_20', 'YG_23_21', 'YG_23_22', 'YG_23_23', 'YG_23_24', 'YG_23_25', 'YG_23_26', 'YG_23_27', 'YG_23_28', 'YG_23_2', 'YG_23_3', 'YG_23_4', 'YG_23_5', 'YG_23_6', 'YG_23_7', 'YG_23_8', 'YG_23_9', 'YG_23_b1', 'YG_23_f1']"
YG_24,YG,24,28,28,3,1,"['YG_24_10', 'YG_24_11', 'YG_24_12', 'YG_24_13', 'YG_24_14', 'YG_24_15', 'YG_24_16', 'YG_24_17', 'YG_24_18', 'YG_24_19', 'YG_24_1', 'YG_24_20', 'YG_24_21', 'YG_24_22', 'YG_24_23', 'YG_24_24', 'YG_24_25', 'YG_24_26', 'YG_24_27', 'YG_24_28', 'YG_24_2', 'YG_24_3', 'YG_24_4', 'YG_24_5', 'YG_24_6', 'YG_24_7', 'YG_24_8', 'YG_24_9', 'YG_24_b1', 'YG_24_f1', 'YG_24_f2', 'YG_24_f3']"
YG_25,YG,25,18,18,1,1,"['YG_25_10', 'YG_25_11', 'YG_25_12', 'YG_25_13', 'YG_25_14', 'YG_25_15', 'YG_25_16', 'YG_25_17', 'YG_25_18', 'YG_25_1', 'YG_25_2', 'YG_25_3', 'YG_25_4', 'YG_25_5', 'YG_25_6', 'YG_25_7', 'YG_25_8', 'YG_25_9', 'YG_25_b1', 'YG_25_f1']"
YG_26,YG,26,23,23,1,1,"['YG_26_10', 'YG_26_11', 'YG_26_12', 'YG_26_13', 'YG_26_14', 'YG_26_15', 'YG_26_16', 'YG_26_17', 'YG_26_18', 'YG_26_19', 'YG_26_1', 'YG_26_20', 'YG_26_21', 'YG_26_22', 'YG_26_23', 'YG_26_2', 'YG_26_3', 'YG_26_4', 'YG_26_5', 'YG_26_6', 'YG_26_7', 'YG_26_8', 'YG_26_9', 'YG_26_b1', 'YG_26_f1']"
YG_27,YG,27,8,8,0,0,"['YG_27_1', 'YG_27_2', 'YG_27_3', 'YG_27_4', 'YG_27_5', 'YG_27_6', 'YG_27_7', 'YG_27_8']"
YG_28,YG,28,26,26,1,1,"['YG_28_10', 'YG_28_11', 'YG_28_12', 'YG_28_13', 'YG_28_14', 'YG_28_15', 'YG_28_16', 'YG_28_17', 'YG_28_18', 'YG_28_19', 'YG_28_1', 'YG_28_20', 'YG_28_21', 'YG_28_22', 'YG_28_23', 'YG_28_24', 'YG_28_25', 'YG_28_26', 'YG_28_2', 'YG_28_3', 'YG_28_4', 'YG_28_5', 'YG_28_6', 'YG_28_7', 'YG_28_8', 'YG_28_9', 'YG_28_b1', 'YG_28_f1']"
YG_29,YG,29,23,23,1,1,"['YG_29_10', 'YG_29_11', 'YG_29_12', 'YG_29_13', 'YG_29_14', 'YG_29_15', 'YG_29_16', 'YG_29_17', 'YG_29_18', 'YG_29_19', 'YG_29_1', 'YG_29_20', 'YG_29_21', 'YG_29_22', 'YG_29_23', 'YG_29_2', 'YG_29_3', 'YG_29_4', 'YG_29_5', 'YG_29_6', 'YG_29_7', 'YG_29_8', 'YG_29_9', 'YG_29_b1', 'YG_29_f1']"
