name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,end_volume,remark
GL0486,UN0793,GL0486,右繞佛塔功德經,1,1,,,
GL0487,UN0702,GL0487,佛說堅固女經,1,1,,,
GL0488,UN0224,GL0488,佛說師子素馱娑王斷肉經,1,1,,,
GL0489,UN0696,GL0489,有德女所問大乘經,1,1,,,
GL0490,UN0762,GL0490,佛說不增不減經,1,1,,,
GL0491,UN0657,GL0491,離垢慧菩薩所問禮佛法經,1,1,,,
GL0492,UN0701,GL0492,差摩婆帝授記經,1,1,,,
GL0493,UN0600,GL0493,佛說八部佛名經,1,1,,,
GL0494,UN0703,GL0494,佛說大乘流轉諸有經,1,1,,,
GL0495,UN0721,GL0495,佛爲海龍王說法印經,1,1,,,
GL0496,UN0223,GL0496,佛說妙色王因緣經,1,1,,,
GL0497,UN0656,GL0497,師子莊嚴王菩薩請問經,1,1,,,
GL0498,UN0792,GL0498,佛說造塔功德經,1,1,,,
GL0499,UN0237,GL0499,佛說大意經,1,1,,,
GL0500,UN0706,GL0500,優婆夷淨行法門經,2,2,,,
GL0501,UN0744,GL0501,佛說金剛三昧本性淸淨不壞不滅經,1,1,,,
GL0502,UN0236,GL0502,佛說師子月佛本生經,1,1,,,
GL0503,UN0670,GL0503,佛說薩羅國經,1,1,,,
GL0504,UN0819,GL0504,佛說十二頭陀經,1,1,,,
GL0505,UN0681,GL0505,佛說樹提伽經,1,1,,,
GL0506,UN0221,GL0506,長壽王經,1,1,,,
GL0507,UN0843,GL0507,佛說甚深大迴向經,1,1,,,
GL0508,UN0601,GL0508,佛說十吉祥經,1,1,,,
GL0509,UN0243,GL0509,一切智光明仙人慈心因緣不食肉經,1,1,,,
GL0510,UN0817,GL0510,佛說菩薩內習六波羅蜜經,1,1,,,
GL0511,UN0700,GL0511,佛說長者法志妻經,1,1,,,
GL0512,UN0232,GL0512,佛說菩薩投身飴餓虎起塔因緣經,1,1,,,
GL0513,UN0717,GL0513,佛說天王太子辟羅經,1,1,,,
GL0514,UN0707,GL0514,佛說長者女菴提遮師子吼了義經,1,1,,,
GL0515,UN0048,GL0515,佛說八大人覺經,1,1,,,
GL0516,UN0811,GL0516,佛說四輩經,1,1,,,
GL0517,UN0240,GL0517,佛說過去世佛分衛經,1,1,,,
GL0518,UN0430,GL0518,佛說當來變經,1,1,,,
GL0519,UN0837,GL0519,佛說法常住經,1,1,,,
GL0520,UN0431,GL0520,佛說法滅盡經,1,1,,,
GL0521,UN0304,GL0521,金剛三昧經,1,1,,,
GL0522,UN0809,GL0522,佛說三品弟子經,1,1,,,
GL0523,UN1651,GL0523,菩薩地持經,10,10,,,
GL0524,UN16521,GL0524,菩薩善戒經,9,9,,,
GL0525,UN1561,GL0525,佛說淨業障經,1,1,,,
GL0526,UN1549,GL0526,優婆塞戒經,7,7,,,
GL0527,,GL0527,梵網經盧舍那佛說菩薩心地戒品第十,2,2,,,
GL0528,UN1547,GL0528,受十善戒經,1,1,,,
GL0529,UN1550,GL0529,佛藏經,3,3,,,
GL0530,UN1546,GL0530,菩薩瓔珞本業經,2,2,,,
GL0531,UN1567,GL0531,菩薩戒本,1,1,,,
GL0532,UN16522,GL0532,菩薩善戒經,1,1,,,
GL0533,UN1568,GL0533,菩薩戒本,1,1,,,
GL0534,UN1566,GL0534,菩薩戒羯磨文,1,1,,,
GL0535,UN1548,GL0535,佛說菩薩內戒經,1,1,,,
GL0536,UN1569,GL0536,優婆塞五戒威儀經,1,1,,,
GL0537,UN1553,GL0537,佛說文殊師利淨律經,1,1,,,
GL0538,UN1556,GL0538,佛說文殊悔過經,1,1,,,
GL0539,UN1552,GL0539,淸淨毘尼方廣經,1,1,,,
GL0540,UN1554,GL0540,寂調音所問經,1,1,,,
GL0541,UN1560,GL0541,大乘三聚懺悔經,1,1,,,
GL0542,UN1571,GL0542,菩薩五法懺悔文,1,1,,,
GL0543,UN1558,GL0543,菩薩藏經,1,1,,,
GL0544,UN1557,GL0544,三曼陀跋陀羅菩薩經,1,1,,,
GL0545,UN1570,GL0545,菩薩受齋經,1,1,,,
GL0546,UN1559,GL0546,佛說舍利弗悔過經,1,1,,,
GL0547,UN1551,GL0547,佛說法律三昧經,1,1,,,
GL0548,UN0719,GL0548,十善業道經,1,1,,,
GL0549,UN1576,GL0549,大智度論,100,100,,,
GL0550,UN1589,GL0550,十地經論,12,12,,,
GL0551,UN1592,GL0551,彌勒菩薩所問經論,9,9,,,
GL0552,UN1590,GL0552,大寶積經論,4,4,,,
