name,tripitaka_code,volume_num,first_page,last_page,content_page_count,front_cover_count,back_cover_count,content_pages,remark
PL_1008,PL,1008,1,25,25,0,0,"['PL_1008_1', 'PL_1008_2', 'PL_1008_3', 'PL_1008_4', 'PL_1008_5', 'PL_1008_6', 'PL_1008_7', 'PL_1008_8', 'PL_1008_9', 'PL_1008_10', 'PL_1008_11', 'PL_1008_12', 'PL_1008_13', 'PL_1008_14', 'PL_1008_15', 'PL_1008_16', 'PL_1008_17', 'PL_1008_18', 'PL_1008_19', 'PL_1008_20', 'PL_1008_21', 'PL_1008_22', 'PL_1008_23', 'PL_1008_24', 'PL_1008_25']",
PL_1009,PL,1009,1,27,27,0,0,"['PL_1009_1', 'PL_1009_2', 'PL_1009_3', 'PL_1009_4', 'PL_1009_5', 'PL_1009_6', 'PL_1009_7', 'PL_1009_8', 'PL_1009_9', 'PL_1009_10', 'PL_1009_11', 'PL_1009_12', 'PL_1009_13', 'PL_1009_14', 'PL_1009_15', 'PL_1009_16', 'PL_1009_17', 'PL_1009_18', 'PL_1009_19', 'PL_1009_20', 'PL_1009_21', 'PL_1009_22', 'PL_1009_23', 'PL_1009_24', 'PL_1009_25', 'PL_1009_26', 'PL_1009_27']",
PL_101,PL,101,1,23,23,0,0,"['PL_101_1', 'PL_101_2', 'PL_101_3', 'PL_101_4', 'PL_101_5', 'PL_101_6', 'PL_101_7', 'PL_101_8', 'PL_101_9', 'PL_101_10', 'PL_101_11', 'PL_101_12', 'PL_101_13', 'PL_101_14', 'PL_101_15', 'PL_101_16', 'PL_101_17', 'PL_101_18', 'PL_101_19', 'PL_101_20', 'PL_101_21', 'PL_101_22', 'PL_101_23']",
PL_1010,PL,1010,1,32,32,0,0,"['PL_1010_1', 'PL_1010_2', 'PL_1010_3', 'PL_1010_4', 'PL_1010_5', 'PL_1010_6', 'PL_1010_7', 'PL_1010_8', 'PL_1010_9', 'PL_1010_10', 'PL_1010_11', 'PL_1010_12', 'PL_1010_13', 'PL_1010_14', 'PL_1010_15', 'PL_1010_16', 'PL_1010_17', 'PL_1010_18', 'PL_1010_19', 'PL_1010_20', 'PL_1010_21', 'PL_1010_22', 'PL_1010_23', 'PL_1010_24', 'PL_1010_25', 'PL_1010_26', 'PL_1010_27', 'PL_1010_28', 'PL_1010_29', 'PL_1010_30', 'PL_1010_31', 'PL_1010_32']",
PL_1011,PL,1011,1,35,35,0,0,"['PL_1011_1', 'PL_1011_2', 'PL_1011_3', 'PL_1011_4', 'PL_1011_5', 'PL_1011_6', 'PL_1011_7', 'PL_1011_8', 'PL_1011_9', 'PL_1011_10', 'PL_1011_11', 'PL_1011_12', 'PL_1011_13', 'PL_1011_14', 'PL_1011_15', 'PL_1011_16', 'PL_1011_17', 'PL_1011_18', 'PL_1011_19', 'PL_1011_20', 'PL_1011_21', 'PL_1011_22', 'PL_1011_23', 'PL_1011_24', 'PL_1011_25', 'PL_1011_26', 'PL_1011_27', 'PL_1011_28', 'PL_1011_29', 'PL_1011_30', 'PL_1011_31', 'PL_1011_32', 'PL_1011_33', 'PL_1011_34', 'PL_1011_35']",
PL_1012,PL,1012,1,32,32,0,0,"['PL_1012_1', 'PL_1012_2', 'PL_1012_3', 'PL_1012_4', 'PL_1012_5', 'PL_1012_6', 'PL_1012_7', 'PL_1012_8', 'PL_1012_9', 'PL_1012_10', 'PL_1012_11', 'PL_1012_12', 'PL_1012_13', 'PL_1012_14', 'PL_1012_15', 'PL_1012_16', 'PL_1012_17', 'PL_1012_18', 'PL_1012_19', 'PL_1012_20', 'PL_1012_21', 'PL_1012_22', 'PL_1012_23', 'PL_1012_24', 'PL_1012_25', 'PL_1012_26', 'PL_1012_27', 'PL_1012_28', 'PL_1012_29', 'PL_1012_30', 'PL_1012_31', 'PL_1012_32']",
PL_1013,PL,1013,1,36,36,0,0,"['PL_1013_1', 'PL_1013_2', 'PL_1013_3', 'PL_1013_4', 'PL_1013_5', 'PL_1013_6', 'PL_1013_7', 'PL_1013_8', 'PL_1013_9', 'PL_1013_10', 'PL_1013_11', 'PL_1013_12', 'PL_1013_13', 'PL_1013_14', 'PL_1013_15', 'PL_1013_16', 'PL_1013_17', 'PL_1013_18', 'PL_1013_19', 'PL_1013_20', 'PL_1013_21', 'PL_1013_22', 'PL_1013_23', 'PL_1013_24', 'PL_1013_25', 'PL_1013_26', 'PL_1013_27', 'PL_1013_28', 'PL_1013_29', 'PL_1013_30', 'PL_1013_31', 'PL_1013_32', 'PL_1013_33', 'PL_1013_34', 'PL_1013_35', 'PL_1013_36']",
PL_1014,PL,1014,1,6,6,0,0,"['PL_1014_1', 'PL_1014_2', 'PL_1014_3', 'PL_1014_4', 'PL_1014_5', 'PL_1014_6']",
PL_1015,PL,1015,1,29,29,0,0,"['PL_1015_1', 'PL_1015_2', 'PL_1015_3', 'PL_1015_4', 'PL_1015_5', 'PL_1015_6', 'PL_1015_7', 'PL_1015_8', 'PL_1015_9', 'PL_1015_10', 'PL_1015_11', 'PL_1015_12', 'PL_1015_13', 'PL_1015_14', 'PL_1015_15', 'PL_1015_16', 'PL_1015_17', 'PL_1015_18', 'PL_1015_19', 'PL_1015_20', 'PL_1015_21', 'PL_1015_22', 'PL_1015_23', 'PL_1015_24', 'PL_1015_25', 'PL_1015_26', 'PL_1015_27', 'PL_1015_28', 'PL_1015_29']",
PL_1016,PL,1016,1,28,28,0,0,"['PL_1016_1', 'PL_1016_2', 'PL_1016_3', 'PL_1016_4', 'PL_1016_5', 'PL_1016_6', 'PL_1016_7', 'PL_1016_8', 'PL_1016_9', 'PL_1016_10', 'PL_1016_11', 'PL_1016_12', 'PL_1016_13', 'PL_1016_14', 'PL_1016_15', 'PL_1016_16', 'PL_1016_17', 'PL_1016_18', 'PL_1016_19', 'PL_1016_20', 'PL_1016_21', 'PL_1016_22', 'PL_1016_23', 'PL_1016_24', 'PL_1016_25', 'PL_1016_26', 'PL_1016_27', 'PL_1016_28']",
